#Exit Angle (deg)	Exit Angle (deg) Ori	Exit Angle (rad)	n(o)	Error n(o) (3S)	cumul n(o)	Error cumul n(o) (3S)	n(o) theoritical	cumul n(o) theoritical	n(o)*sin(o)*do
16.2814	16.2814	0.284164	0.0700295	0.148406	0.081	0.0258834	0.291808	0	0.000309946
17.1859	17.1859	0.299951	0.0332719	0.0997658	0.082	0.0260285	0.290427	0	0.0001552
18.0905	18.0905	0.315738	0	0	0.082	0.0260285	0.288973	0	0
18.995	18.995	0.331525	0.0302805	0.0907962	0.083	0.0261725	0.287446	0	0.000155594
19.8995	19.8995	0.347312	0.0579762	0.122863	0.085	0.026457	0.285848	0	0.00031153
20.804	20.804	0.363099	0.0278081	0.0833826	0.086	0.0265977	0.284179	0	0.000155922
21.7085	21.7085	0.378886	0.0534537	0.113279	0.088	0.0268757	0.28244	0	0.000312134
22.6131	22.6131	0.394672	0	0	0.088	0.0268757	0.280629	0	0
23.5176	23.5176	0.410459	0.0496316	0.105179	0.09	0.0271496	0.278749	0	0.000312652
24.4221	24.4221	0.426246	0.0479355	0.101585	0.092	0.0274194	0.276799	0	0.000312884
25.3266	25.3266	0.442033	0	0	0.092	0.0274194	0.274781	0	0
26.2312	26.2312	0.45782	0.067351	0.11648	0.095	0.0278168	0.272694	0	0.000469956
27.1357	27.1357	0.473607	0.0653079	0.112947	0.098	0.0282057	0.270538	0	0.000470242
28.0402	28.0402	0.489394	0.0211334	0.0633686	0.099	0.0283336	0.268316	0	0.000156837
28.9447	28.9447	0.505181	0.0410773	0.087051	0.101	0.0285866	0.266026	0	0.000313844
29.8492	29.8492	0.520968	0	0	0.101	0.0285866	0.263671	0	0
30.7538	30.7538	0.536755	0.0389162	0.082471	0.103	0.0288361	0.261249	0	0.000314156
31.6583	31.6583	0.552541	0.0189662	0.0568701	0.104	0.0289596	0.258763	0	0.00015715
32.5628	32.5628	0.568328	0.018503	0.0554814	0.105	0.0290822	0.256212	0	0.000157218
33.4673	33.4673	0.584115	0	0	0.105	0.0290822	0.253597	0	0
34.3719	34.3719	0.599902	0.0176541	0.0529359	0.106	0.029204	0.250919	0	0.000157346
35.2764	35.2764	0.615689	0	0	0.106	0.029204	0.248178	0	0
36.1809	36.1809	0.631476	0.0168958	0.0506621	0.107	0.0293251	0.245376	0	0.000157462
37.0854	37.0854	0.647263	0.0330932	0.070131	0.109	0.0295647	0.242512	0	0.000315033
37.9899	37.9899	0.66305	0.0324309	0.0687276	0.111	0.0298012	0.239588	0	0.000315138
38.8945	38.8945	0.678837	0.0318024	0.0673957	0.113	0.0300346	0.236604	0	0.000315239
39.799	39.799	0.694624	0	0	0.113	0.0300346	0.233562	0	0
40.7035	40.7035	0.71041	0	0	0.113	0.0300346	0.230461	0	0
41.608	41.608	0.726197	0.0451472	0.0780799	0.116	0.0303792	0.227302	0	0.000473278
42.5126	42.5126	0.741984	0.0147921	0.0443542	0.117	0.0304926	0.224087	0	0.000157803
43.4171	43.4171	0.757771	0	0	0.117	0.0304926	0.220816	0	0
44.3216	44.3216	0.773558	0	0	0.117	0.0304926	0.217491	0	0
45.2261	45.2261	0.789345	0.0140916	0.0422537	0.118	0.0306053	0.21411	0	0.000157925
46.1307	46.1307	0.805132	0	0	0.118	0.0306053	0.210677	0	0
47.0352	47.0352	0.820919	0	0	0.118	0.0306053	0.207191	0	0
47.9397	47.9397	0.836706	0.0269667	0.0571477	0.12	0.0308286	0.203653	0	0.000316072
48.8442	48.8442	0.852492	0.0265971	0.0563646	0.122	0.0310491	0.200065	0	0.000316142
49.7487	49.7487	0.868279	0	0	0.122	0.0310491	0.196427	0	0
50.6533	50.6533	0.884066	0.0129532	0.0388403	0.123	0.0311583	0.19274	0	0.000158138
51.5578	51.5578	0.899853	0	0	0.123	0.0311583	0.189004	0	0
52.4623	52.4623	0.91564	0.0126377	0.0378941	0.124	0.0312669	0.185222	0	0.000158202
53.3668	53.3668	0.931427	0.0249804	0.0529385	0.126	0.031482	0.181394	0	0.000316466
