R (nm)	gD(R) (# e)	Var gD(R) (# e)	
1114.16	0	0	
1120.78	0	0	
1127.39	0	0	
1134	0	0	
1140.61	0	0	
1147.22	0	0	
1153.84	0	0	
1160.45	0	0	
1167.06	0	0	
1173.67	0	0	
1180.29	0	0	
1186.9	0	0	
1193.51	0	0	
1200.12	0	0	
1206.73	0	0	
1213.35	0	0	
1219.96	0	0	
1226.57	0	0	
1233.18	0	0	
1239.8	0	0	
1246.41	0	0	
1253.02	0	0	
1259.63	0	0	
1266.24	0	0	
1272.86	0	0	
1279.47	0	0	
1286.08	0	0	
1292.69	0	0	
1299.31	0	0	
1305.92	0	0	
1312.53	0	0	
Electron Result File: Radial
