z,shell,ionization energy (eV)
89,17,2.74000E+02
89,18,2.18000E+02
89,19,1.74000E+02
89,15,3.22000E+02
89,16,3.13000E+02
89,20,8.80000E+01
89,21,8.30000E+01
89,24,4.50000E+01
89,25,2.90000E+01
89,26,2.20000E+01
89,27,6.10000E+00
89,29,6.10000E+00
90,1,1.09654E+05
90,2,2.04750E+04
90,3,1.96960E+04
90,4,1.63030E+04
90,5,5.18500E+03
90,6,4.83300E+03
90,7,4.04900E+03
90,8,3.49400E+03
90,9,3.33500E+03
90,10,1.33300E+03
90,11,1.17100E+03
90,12,9.70000E+02
90,13,7.17000E+02
90,14,6.79000E+02
90,17,2.93000E+02
90,18,2.33000E+02
90,19,1.85000E+02
90,15,3.47000E+02
90,16,3.38000E+02
90,20,9.70000E+01
90,21,9.10000E+01
90,24,5.00000E+01
90,25,3.30000E+01
90,26,2.50000E+01
90,27,6.00000E+00
90,29,6.00000E+00
91,1,1.12604E+05
91,2,2.11120E+04
91,3,2.03180E+04
91,4,1.67350E+04
91,5,5.36800E+03
91,6,5.00800E+03
91,7,4.17800E+03
91,8,3.61300E+03
91,9,3.44600E+03
91,10,1.39000E+03
91,11,1.22500E+03
91,12,1.01100E+03
91,13,7.52000E+02
91,14,7.12000E+02
91,17,3.12000E+02
91,18,2.48000E+02
91,19,1.95000E+02
91,15,3.72000E+02
91,16,3.62000E+02
91,20,1.04000E+02
91,21,9.70000E+01
91,24,5.00000E+01
91,25,3.20000E+01
91,26,2.40000E+01
91,22,6.00000E+00
91,27,6.00000E+00
91,29,6.00000E+00
92,1,1.15611E+05
92,2,2.17620E+04
92,3,2.09530E+04
92,4,1.71710E+04
92,5,5.55300E+03
92,6,5.18700E+03
92,7,4.30800E+03
92,8,3.73300E+03
92,9,3.55700E+03
92,10,1.44600E+03
92,11,1.27800E+03
92,12,1.05000E+03
92,13,7.85000E+02
92,14,7.43000E+02
92,17,3.29000E+02
92,18,2.61000E+02
92,19,2.03000E+02
92,15,3.96000E+02
92,16,3.86000E+02
92,20,1.10000E+02
92,21,1.01000E+02
92,24,5.20000E+01
92,25,3.40000E+01
92,26,2.40000E+01
92,22,6.03300E+00
92,27,6.00000E+00
92,29,6.00000E+00
93,1,1.18676E+05
93,2,2.24270E+04
93,3,2.16020E+04
93,4,1.76120E+04
93,5,5.74200E+03
93,6,5.37000E+03
93,7,4.44000E+03
93,8,3.85400E+03
93,9,3.66900E+03
93,10,1.50400E+03
93,11,1.33100E+03
93,12,1.08900E+03
93,13,8.19000E+02
93,14,7.74000E+02
93,17,3.46000E+02
93,18,2.74000E+02
93,19,2.11000E+02
93,15,4.21000E+02
93,16,4.10000E+02
93,20,1.16000E+02
93,21,1.06000E+02
93,24,5.40000E+01
93,25,3.50000E+01
93,26,2.50000E+01
93,22,6.00000E+00
93,27,6.00000E+00
93,29,6.00000E+00
94,1,1.21800E+05
94,2,2.31090E+04
94,3,2.22670E+04
94,4,1.80590E+04
94,5,5.93600E+03
94,6,5.55700E+03
94,7,4.57400E+03
94,8,3.97700E+03
94,9,3.78300E+03
94,10,1.56300E+03
94,11,1.38400E+03
94,12,1.12800E+03
94,13,8.53000E+02
94,14,8.05000E+02
94,17,3.56000E+02
94,18,2.87000E+02
94,19,2.19000E+02
94,15,4.46000E+02
94,16,4.34000E+02
94,20,1.22000E+02
94,21,1.11000E+02
94,24,5.30000E+01
94,25,3.40000E+01
94,26,2.30000E+01
94,22,6.00000E+00
94,29,6.00000E+00
95,1,1.24984E+05
95,2,2.38030E+04
95,3,2.29490E+04
95,4,1.85120E+04
95,5,6.13500E+03
95,6,5.74800E+03
95,7,4.71000E+03
95,8,4.10200E+03
95,9,3.89800E+03
95,10,1.62300E+03
95,11,1.43900E+03
95,12,1.16700E+03
95,13,8.87000E+02
95,14,8.36000E+02
95,17,3.55000E+02
95,18,3.01000E+02
95,19,2.20000E+02
95,15,4.67000E+02
95,16,4.52000E+02
95,20,1.23000E+02
95,21,1.12000E+02
95,24,5.40000E+01
95,25,4.40000E+01
95,26,3.60000E+01
95,22,6.00000E+00
95,27,6.00000E+00
95,29,6.00000E+00
96,1,1.28261E+05
96,2,2.45230E+04
96,3,2.36540E+04
96,4,1.89740E+04
96,5,6.31300E+03
96,6,5.94600E+03
96,7,4.82800E+03
96,8,4.23600E+03
96,9,4.01400E+03
96,10,1.66400E+03
96,11,1.49300E+03
96,12,1.19400E+03
96,13,9.19000E+02
96,14,8.64000E+02
96,17,3.84000E+02
96,18,3.14000E+02
96,19,2.39000E+02
96,15,4.94000E+02
96,16,4.79000E+02
96,20,1.26000E+02
96,21,1.19000E+02
96,24,6.00000E+01
96,25,3.90000E+01
96,26,2.70000E+01
96,22,1.10000E+01
96,23,1.10000E+01
96,27,5.66700E+00
96,29,5.66700E+00
97,1,1.31586E+05
97,2,2.52600E+04
97,3,2.43720E+04
97,4,1.94400E+04
97,5,6.52300E+03
97,6,6.14900E+03
97,7,4.96800E+03
97,8,4.36600E+03
97,9,4.13300E+03
97,10,1.72900E+03
97,11,1.55400E+03
97,12,1.23600E+03
97,13,9.55000E+02
97,14,8.98000E+02
97,17,4.01000E+02
97,18,3.29000E+02
97,19,2.48000E+02
97,15,5.20000E+02
97,16,5.04000E+02
97,20,1.42000E+02
97,21,1.24000E+02
97,24,6.30000E+01
97,25,4.10000E+01
97,26,2.70000E+01
97,22,1.20000E+01
97,23,1.20000E+01
97,27,5.33300E+00
97,29,5.33300E+00
98,1,1.34967E+05
98,2,2.60080E+04
98,3,2.51030E+04
98,4,1.99070E+04
98,5,6.73300E+03
98,6,6.35200E+03
98,7,5.10300E+03
98,8,4.49200E+03
98,9,4.24700E+03
98,10,1.78900E+03
98,11,1.61000E+03
98,12,1.27300E+03
98,13,9.87000E+02
98,14,9.25000E+02
98,17,4.12000E+02
98,18,3.38000E+02
98,19,2.51000E+02
98,15,5.46000E+02
98,16,5.29000E+02
98,20,1.42000E+02
98,21,1.29000E+02
98,24,6.10000E+01
98,25,3.90000E+01
98,26,2.50000E+01
98,22,9.00000E+00
98,23,9.00000E+00
98,27,7.00000E+00
98,29,7.00000E+00
99,1,1.38440E+05
99,2,2.67810E+04
99,3,2.58590E+04
99,4,2.03830E+04
99,5,6.95400E+03
99,6,6.56600E+03
99,7,5.24700E+03
99,8,4.62500E+03
99,9,4.36900E+03
99,10,1.85700E+03
99,11,1.67400E+03
99,12,1.31600E+03
99,13,1.02400E+03
99,14,9.59000E+02
99,17,4.29000E+02
99,18,3.53000E+02
99,19,2.60000E+02
99,15,5.73000E+02
99,16,5.54000E+02
99,20,1.48000E+02
99,21,1.35000E+02
99,22,9.00000E+00
99,23,9.00000E+00
99,24,6.30000E+01
99,25,4.00000E+01
99,26,2.50000E+01
99,27,7.00000E+00
99,29,7.00000E+00
