"z","dest","src","probability","transition energy (in eV)"
20,2,3,"9.42443E-05","7.50700E+01"
20,2,4,"2.78501E-04","7.89100E+01"
20,2,6,"2.04061E-04","4.15430E+02"
20,2,7,"3.06021E-04","4.15800E+02"
20,3,5,"1.19571E-03","3.06430E+02"
20,3,7,"8.74676E-07","3.27120E+02"
20,3,10,"2.53632E-05","3.53590E+02"
20,4,5,"1.13130E-03","3.02690E+02"
20,4,6,"4.05972E-07","3.23340E+02"
20,4,7,"3.98812E-07","3.23710E+02"
20,4,10,"2.39671E-05","3.49750E+02"
21,1,3,"5.63841E-02","4.08595E+03"
21,1,4,"1.11130E-01","4.09074E+03"
21,1,6,"6.22301E-03","4.46044E+03"
21,1,7,"1.23040E-02","4.46044E+03"
21,1,8,"1.96120E-07","4.48659E+03"
21,1,9,"2.89041E-07","4.48659E+03"
21,2,3,"7.81037E-05","8.06100E+01"
21,2,4,"2.40919E-04","8.54300E+01"
21,2,6,"2.62569E-04","4.69590E+02"
21,2,7,"3.88779E-04","4.71360E+02"
21,2,8,"1.37519E-07","4.99220E+02"
21,2,9,"2.05159E-07","4.87250E+02"
21,3,5,"1.55229E-03","3.52920E+02"
21,3,7,"1.42119E-06","3.77500E+02"
21,3,8,"9.27695E-05","3.99690E+02"
21,3,10,"3.03898E-05","4.07780E+02"
21,4,5,"1.47392E-03","3.48360E+02"
21,4,6,"6.61778E-07","3.71010E+02"
21,4,7,"6.49648E-07","3.72780E+02"
21,4,8,"6.52158E-06","3.95480E+02"
21,4,9,"7.76419E-05","3.95480E+02"
21,4,10,"2.87763E-05","4.02960E+02"
21,5,30,"2.30342E-06","2.16797E+01"
21,6,30,"3.31330E-09","3.29352E+01"
21,7,30,"2.74909E-09","3.24300E+01"
22,1,3,"6.45982E-02","4.50492E+03"
22,1,4,"1.27140E-01","4.51090E+03"
22,1,6,"7.32672E-03","4.93183E+03"
22,1,7,"1.44750E-02","4.93183E+03"
22,1,8,"5.90112E-07","4.96227E+03"
22,1,9,"8.68503E-07","4.96227E+03"
22,2,3,"6.36048E-05","8.62200E+01"
22,2,4,"2.04399E-04","9.22000E+01"
22,2,6,"3.22289E-04","5.26300E+02"
22,2,7,"4.71549E-04","5.29900E+02"
22,2,8,"3.05709E-07","5.61360E+02"
22,2,9,"4.55949E-07","5.49100E+02"
22,3,5,"2.01990E-03","4.01370E+02"
22,3,7,"2.27320E-06","4.30400E+02"
22,3,8,"1.68880E-04","4.58350E+02"
22,3,10,"3.77960E-05","4.64940E+02"
22,4,5,"1.91569E-03","3.95350E+02"
22,4,6,"1.07660E-06","4.20500E+02"
22,4,7,"1.05590E-06","4.24100E+02"
22,4,8,"1.24250E-05","4.52160E+02"
22,4,9,"1.45989E-04","4.52160E+02"
22,4,10,"3.60539E-05","4.58960E+02"
22,5,30,"3.68690E-06","2.39775E+01"
22,6,30,"5.29610E-08","3.69504E+01"
22,7,30,"4.42175E-08","3.62317E+01"
23,1,3,"7.32827E-02","4.94467E+03"
23,1,4,"1.44051E-01","4.95222E+03"
23,1,6,"8.48408E-03","5.42732E+03"
23,1,7,"1.67441E-02","5.42732E+03"
23,1,8,"1.26461E-06","5.46296E+03"
23,1,9,"1.85722E-06","5.46296E+03"
23,2,3,"5.14719E-05","9.19100E+01"
23,2,4,"1.72900E-04","9.92500E+01"
23,2,6,"3.78930E-04","5.85100E+02"
23,2,7,"5.53899E-04","5.85100E+02"
23,2,8,"5.66349E-07","6.26830E+02"
23,2,9,"8.29699E-07","6.14260E+02"
