E(ev)->, Z(nm)|	50	Error	150	Error	250	Error	350	Error	450	Error	550	Error	650	Error	750	Error	850	Error	950	Error	1050	Error	1150	Error	1250	Error	1350	Error	1450	Error	1550	Error	1650	Error	1750	Error	1850	Error	1950	Error	2050	Error	2150	Error	2250	Error	2350	Error	2450	Error	2550	Error	2650	Error	2750	Error	2850	Error	2950	Error	3050	Error	3150	Error	3250	Error	3350	Error	3450	Error	3550	Error	3650	Error	3750	Error	3850	Error	3950	Error	4050	Error	4150	Error	4250	Error	4350	Error	4450	Error	4550	Error	4650	Error	4750	Error	4850	Error	4950	Error	5050	Error	5150	Error	5250	Error	5350	Error	5450	Error	5550	Error	5650	Error	5750	Error	5850	Error	5950	Error	6050	Error	6150	Error	6250	Error	6350	Error	6450	Error	6550	Error	6650	Error	6750	Error	6850	Error	6950	Error	7050	Error	7150	Error	7250	Error	7350	Error	7450	Error	7550	Error	7650	Error	7750	Error	7850	Error	7950	Error	8050	Error	8150	Error	8250	Error	8350	Error	8450	Error	8550	Error	8650	Error	8750	Error	8850	Error	8950	Error	9050	Error	9150	Error	9250	Error	9350	Error	9450	Error	9550	Error	9650	Error	9750	Error	9850	Error	9950	Error	
-1176.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1162.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1149.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1136.4	0.000168649	0.000168565	4.03287e-26	4.03085e-26	3.95447e-12	3.9525e-12	4.73068e-07	4.72832e-07	2.93497e-05	2.9335e-05	0.000227652	0.000227538	0.000694819	0.000694471	0.00129725	0.0012966	0.00190124	0.00190029	0.00214387	0.00214279	0.00346948	0.00346774	0.0036941	0.00369225	0.00449508	0.00449283	0.00478865	0.00478626	0.00606724	0.0060642	0.0073781	0.00737441	0.00417742	0.00417533	0.0045823	0.00458001	0.0026818	0.00268046	0.00178381	0.00178292	0.00111493	0.00111438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1123.11	0.00061509	0.000614782	1.77146e-10	1.77058e-10	2.68007e-06	2.67873e-06	0.000230339	0.000230224	0.00127813	0.00127749	0.00335507	0.00335339	0.00452707	0.0045248	0.00926994	0.0092653	0.0112986	0.0112929	0.0107537	0.0107483	0.00872221	0.00871784	0.00578629	0.0057834	0.00527044	0.0052678	0.00459771	0.00459541	0.00592582	0.00592285	0.00294597	0.00294449	0.00201582	0.00201482	0.00223635	0.00223523	0.00192522	0.00192426	0.00165883	0.001658	0.00226086	0.00225973	0.00278476	0.00278337	0.00089079	0.000890344	0.000332304	0.000332138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1109.82	8.93568e-05	8.93121e-05	5.70084e-26	5.69799e-26	2.89576e-12	2.89432e-12	2.70569e-07	2.70433e-07	1.52157e-05	1.52081e-05	0.000111484	0.000111428	0.000327679	0.000327515	0.000595697	0.000595399	0.000855509	0.000855081	0.00107442	0.00107389	0.00124487	0.00124425	0.00137648	0.0013758	0.00147502	0.00147428	0.00154641	0.00154564	0.00159941	0.00159861	0.00164156	0.00164074	0.000510206	0.00050995	0.000661894	0.000661563	0.000555021	0.000554743	0.00170965	0.00170879	0.00124088	0.00124026	0.00135898	0.0013583	0.000927229	0.000926765	0.00150302	0.00150226	0.00125115	0.00125053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1096.53	0.00174584	0.00117499	1.50678e-07	1.50603e-07	6.09358e-05	6.09052e-05	0.000725845	0.000721596	0.0018053	0.00165497	0.0052678	0.00425412	0.00945462	0.00682065	0.0150563	0.0111507	0.0194426	0.0140394	0.0227753	0.0161723	0.0261794	0.0182474	0.0286894	0.0204357	0.0287154	0.0196482	0.0338705	0.0232143	0.0327953	0.0221547	0.0312911	0.0210356	0.0172325	0.0129413	0.0184715	0.0134547	0.0168711	0.0122368	0.015831	0.0115264	0.0152392	0.0113508	0.0157964	0.0111631	0.0124887	0.00918846	0.0119077	0.0091315	0.00698171	0.00500978	0.00304922	0.00258532	0.00103687	0.00103635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1083.24	0.000468963	0.000271094	1.02141e-24	5.90771e-25	2.49444e-11	1.44354e-11	1.82492e-06	1.05681e-06	9.6137e-05	5.57056e-05	0.000692327	0.000401369	0.00204175	0.00118425	0.00376621	0.0021854	0.00609882	0.00356569	0.00754513	0.00439296	0.00874082	0.00508238	0.00973094	0.0056565	0.0116771	0.00685977	0.0123811	0.00726512	0.0117184	0.00698322	0.0118489	0.00716419	0.00295701	0.00195035	0.00343145	0.00232219	0.00494341	0.00288328	0.00723478	0.00464253	0.00895581	0.00551509	0.00794519	0.00488061	0.0103564	0.0065183	0.0106576	0.0067627	0.00998313	0.00620981	0.00770728	0.00555441	0.00606896	0.00487506	0.00455234	0.00360804	0.00289322	0.0023422	0.00559828	0.00528247	0.00529631	0.00529366	0.00206454	0.00206351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1069.95	0.00121656	0.000764264	2.87842e-19	2.87695e-19	2.72347e-09	2.68805e-09	1.43922e-05	1.23129e-05	0.000440497	0.000340524	0.00239573	0.00171954	0.00586069	0.0039643	0.0100153	0.00662323	0.0135817	0.0087626	0.0187132	0.0125069	0.0215515	0.0143184	0.0237117	0.0156586	0.0254466	0.0167412	0.0268325	0.0176142	0.028681	0.0189929	0.031098	0.0209516	0.00901238	0.00696574	0.0117493	0.00918477	0.0135783	0.0107262	0.0137195	0.0097409	0.0185122	0.012721	0.0198106	0.0129748	0.0205051	0.0131221	0.0194955	0.0117791	0.0208367	0.0126152	0.0160257	0.00927998	0.0122997	0.00692092	0.0121021	0.00661887	0.0100513	0.00575731	0.00857464	0.00578742	0.00750404	0.00577496	0.00642131	0.0046264	0.00616803	0.00456227	0.00489699	0.00347183	0.00175444	0.00161346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1056.66	0.00139864	0.000704024	2.30314e-10	2.30199e-10	5.90544e-06	5.90242e-06	0.0003178	0.00031415	0.00137622	0.00121475	0.00337668	0.00233697	0.00714843	0.0043111	0.0103022	0.00545764	0.012887	0.00627481	0.0155528	0.00740025	0.0171991	0.00801529	0.0180022	0.00825605	0.0180447	0.00802742	0.0174358	0.00775431	0.0186334	0.00869729	0.0199034	0.0100896	0.00709329	0.00440278	0.00776622	0.00459272	0.0108758	0.00688807	0.011081	0.00662689	0.0113864	0.00639249	0.0133077	0.00770815	0.0143318	0.00834302	0.0144	0.00824359	0.0154637	0.00884764	0.0120378	0.00655189	0.0115944	0.00651941	0.0101291	0.00556654	0.00830038	0.00478862	0.0084152	0.00525604	0.00742367	0.00493215	0.00710053	0.00479106	0.00894018	0.0059363	0.00797926	0.00467159	0.00671323	0.00391397	0.00322469	0.00322308	0.0018019	0.00180099	0.000207236	0.000207133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
