rho z, Au Ma, Au La
0, 2.14059567451477, 1.39025807380676
0.00767076713964343, 2.43752002716064, 1.49758100509644
0.0153415342792869, 2.64547300338745, 1.53972995281219
0.023012300953269, 2.81057238578796, 1.58128488063812
0.0306830685585737, 2.93582963943481, 1.5836786031723
0.0383538343012333, 3.00069284439087, 1.52651262283325
0.046024601906538, 3.07077980041504, 1.50344455242157
0.0536953695118427, 3.15041637420654, 1.47333252429962
0.0613661371171474, 3.19657254219055, 1.43894839286804
0.0690369009971619, 3.19940257072449, 1.36321294307709
0.0767076686024666, 3.23995423316956, 1.29414486885071
0.0843784362077713, 3.25751113891602, 1.24585008621216
0.092049203813076, 3.21619939804077, 1.15966272354126
0.0997199714183807, 3.16514039039612, 1.09846210479736
0.107390739023685, 3.12654066085815, 1.03195905685425
0.11506150662899, 3.07916665077209, 0.97830855846405
0.122732274234295, 3.03604173660278, 0.905671238899231
0.1304030418396, 2.97515940666199, 0.841968059539795
0.138073801994324, 2.85118651390076, 0.774135112762451
0.145744577050209, 2.80810022354126, 0.721395969390869
0.153415337204933, 2.74982047080994, 0.66445255279541
0.161086112260818, 2.70529937744141, 0.618455946445465
0.168756872415543, 2.59204292297363, 0.553672850131989
0.176427647471428, 2.54230856895447, 0.517952382564545
0.184098407626152, 2.49606537818909, 0.481531709432602
0.191769182682037, 2.37232637405396, 0.430864781141281
0.199439942836761, 2.29504919052124, 0.39408341050148
0.207110717892647, 2.24854230880737, 0.366740554571152
0.214781478047371, 2.16050004959106, 0.32441434264183
0.222452253103256, 2.1061372756958, 0.296095967292786
0.23012301325798, 2.07922887802124, 0.269444674253464
0.237793788313866, 1.9851781129837, 0.249006986618042
0.24546454846859, 1.91159439086914, 0.224704280495644
0.253135323524475, 1.8401255607605, 0.202450603246689
0.260806083679199, 1.74532103538513, 0.182876542210579
0.268476843833923, 1.70406424999237, 0.163046389818192
0.276147603988647, 1.60583686828613, 0.145719826221466
0.283818393945694, 1.55238521099091, 0.13218292593956
0.291489154100418, 1.48548054695129, 0.120769761502743
0.299159914255142, 1.44455814361572, 0.104792110621929
0.306830674409866, 1.34858131408691, 0.091907724738121
0.314501464366913, 1.29416692256927, 0.0807207673788071
0.322172224521637, 1.23078262805939, 0.0736343711614609
0.329842984676361, 1.19056069850922, 0.0641788393259048
0.337513744831085, 1.14903056621552, 0.0562996342778206
0.345184534788132, 1.08040165901184, 0.0490527264773846
